dx,dy,dz,B_pred,az_pred,el_pred,pm_x,pm_y,pm_z,act_x,act_y,act_z
0.0,0.0,0.003,0.00011985616583842784,-0.014143814332783222,0.2805744707584381,-0.06232863519557194,-0.4357790063797244,-0.20963017989620206,-0.06979267965282498,-0.4861810992941975,-0.2503219625831453
0.00039983335416542663,0.0007986673331746252,0.002996250781184899,8.529519254807383e-05,1.7902538776397705,0.14369145035743713,-0.07464644150838677,-0.4244582287430594,-0.21256754769001054,-0.06979267965282498,-0.4861810992941975,-0.2503219625831453
0.0007986673331746252,0.0015893546463604897,0.0029850124958340774,6.820599810453132e-05,2.3565733432769775,0.04260295629501343,-0.09123404194150363,-0.41753513080796706,-0.21632953814837494,-0.06979267965282498,-0.4861810992941975,-0.2503219625831453
0.001195505059788794,0.0023641616532907167,0.002966313233808127,6.100493192207068e-05,2.6263160705566406,0.01377837359905243,-0.10774222114923568,-0.41394038857222326,-0.21997719170009733,-0.06979267965282498,-0.4861810992941975,-0.2503219625831453
0.0015893546463604897,0.0031153467384692044,0.002940199733523725,5.8966485084965825e-05,2.779118299484253,0.0027146190404891968,-0.1230292753111432,-0.41239326718543656,-0.22331656769232058,-0.0697925897724071,-0.48618062185848815,-0.2503215937254005
0.0019792316740361833,0.003835404308833624,0.002906737265131934,5.801676888950169e-05,2.90228533744812,-0.007579714059829712,-0.13690841377528776,-0.41240730683718596,-0.22637566137457762,-0.0697924700243667,-0.486176800876664,-0.25031916758448336
0.0023641616532907167,0.004517139787160284,0.002866009467376818,5.828247230965644e-05,2.9649500846862793,-0.015930011868476868,-0.1492722816709736,-0.41313710389702185,-0.22916535526574594,-0.0697924700243667,-0.486176800876664,-0.25031916758448336
0.002743182459643611,0.005153741497901529,0.0028181181385421366,5.672156112268567e-05,2.9519031047821045,-0.02341976761817932,-0.16012299191355067,-0.41362957435226483,-0.2317078988671396,-0.0697924700243667,-0.486176800876664,-0.25031916758448336
0.0031153467384692044,0.005738848727196182,0.0027631829820086553,5.5461874580942094e-05,2.9320120811462402,-0.030333250761032104,-0.16962335211948598,-0.4138353640762385,-0.23402619561536292,-0.0697924700243667,-0.486176800876664,-0.25031916758448336
0.003479724272889842,0.006266615277019868,0.002701341307058031,5.486915324581787e-05,2.8999807834625244,-0.03638838231563568,-0.17789758636052141,-0.4136519381137464,-0.23613710226519183,-0.0697924700243667,-0.486176800876664,-0.25031916758448336
0.003835404308833624,0.0067317678784631725,0.0026327476856711184,5.5942080507520586e-05,2.852134943008423,-0.03929257392883301,-0.18503088699512782,-0.41295112250336785,-0.23802865482256033,-0.0697924700243667,-0.486176800876664,-0.25031916758448336
0.004181497831445274,0.007129658880491483,0.0025575735661785173,5.72579083382152e-05,2.802669048309326,-0.042089611291885376,-0.1911282311348405,-0.41178490902408615,-0.23972591931053733,-0.0697924700243667,-0.486176800876664,-0.25031916758448336
0.004517139787160284,0.007456312687737812,0.0024760068447290348,5.936338857281953e-05,2.755976438522339,-0.046777546405792236,-0.19629821686734492,-0.41024921074079773,-0.24127430671431177,-0.0697924700243667,-0.486176800876664,-0.25031916758448336
0.0048414912458883165,0.007708465483337544,0.0023882513956471675,6.147455133032054e-05,2.706838846206665,-0.05125132203102112,-0.2006164901949379,-0.4083722867244241,-0.24268916789842832,-0.0697924700243667,-0.486176800876664,-0.25031916758448336
0.005153741497901529,0.007883597839907682,0.002294526561853465,6.378580292221159e-05,2.6542179584503174,-0.05538834631443024,-0.20414077267868344,-0.4061712127537034,-0.24398258010115756,-0.0697924700243667,-0.486176800876664,-0.25031916758448336
0.005453110080186673,0.007979959892832436,0.0021950666066214626,6.601418135687709e-05,2.6163697242736816,-0.05717509984970093,-0.20702672105448797,-0.4038482042889795,-0.24514165475218153,-0.0697924700243667,-0.486176800876664,-0.25031916758448336
0.005738848727196182,0.00799658882433204,0.0020901201280414962,6.641015352215618e-05,2.600870370864868,-0.055745840072631836,-0.20947517678634564,-0.40164753754363924,-0.2461449447536408,-0.0697924700243667,-0.486176800876664,-0.25031916758448336
0.006010243241122342,0.007933318483619748,0.001979949437654946,6.688435678370297e-05,2.575756788253784,-0.054459527134895325,-0.21147636021810437,-0.3994609099201758,-0.2470128129367991,-0.0697924700243667,-0.486176800876664,-0.25031916758448336
0.006266615277019868,0.0077907810470255615,0.0018648299048119933,6.755358481314033e-05,2.5436325073242188,-0.05270510911941528,-0.21303205197806302,-0.39722254133272783,-0.24775603970950652,-0.0697924700243667,-0.486176800876664,-0.25031916758448336
0.00650732403831499,0.007570400701499316,0.0017450492683916505,6.845404277555645e-05,2.5047175884246826,-0.05052350461483002,-0.21413891192054857,-0.3948812882619134,-0.2483845884937584,-0.0697924700243667,-0.486176800876664,-0.25031916758448336
